Format Version,1.23,Take Name,Take 2019-05-30 01.08.46 PM_001,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2019-05-30 01.17.24.067 PM,Total Frames in Take,25912,Total Exported Frames,25912,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Local

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody
,ID,"40280E82E311E995299424601851A7","40280E82E311E995299424601851A7","40280E82E311E995299424601851A7","40280E82E311E995299424601851A7","40280E82E311E995299424601851A7","40280E82E311E995299424601851A7","40280E82E311E995299424601851A7"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
96,0.800000,-0.037680,0.761360,-0.539425,0.357677,37.043682,13.093456,498.872314
97,0.808333,-0.027302,0.755705,-0.545956,0.360690,36.927883,13.107213,498.950714
98,0.816667,-0.039896,0.757885,-0.550444,0.347895,37.051918,13.131222,498.838531
99,0.825000,-0.024537,0.750866,-0.548930,0.366434,37.080772,13.075119,499.021484
100,0.833333,-0.023754,0.749559,-0.548961,0.369106,37.208660,13.099532,499.080811
101,0.841667,-0.022814,0.744287,-0.551514,0.375963,37.439301,12.965224,499.089386
102,0.850000,-0.022477,0.743302,-0.550473,0.379441,37.604416,12.947181,499.102692
103,0.858333,-0.017425,0.762450,-0.546700,0.345666,37.631725,12.713833,498.725800
104,0.866667,,,,,,,
105,0.875000,-0.015443,0.742003,-0.548552,0.385076,37.945580,13.100603,499.396179
106,0.883333,,,,,,,
107,0.891667,-0.014480,0.758180,-0.528937,0.381025,37.886868,13.390294,499.368042
108,0.900000,-0.014780,0.754568,-0.533361,0.382013,37.857162,13.443404,499.495880
109,0.908333,-0.015874,0.759989,-0.529648,0.376349,37.729607,13.617009,499.577332
110,0.916667,-0.032577,0.774407,-0.503673,0.381504,37.934170,13.882804,499.427185
111,0.925000,-0.031999,0.775521,-0.503430,0.379607,37.842377,13.915706,499.434418
112,0.933333,-0.012183,0.763710,-0.532092,0.365345,37.373596,13.720107,499.598022
113,0.941667,-0.024763,0.754101,-0.547137,0.362437,37.345306,13.533107,499.781860
114,0.950000,-0.014738,0.751193,-0.549138,0.365977,37.241249,13.559453,499.681427
115,0.958333,-0.016852,0.750491,-0.549629,0.366589,37.254200,13.440023,499.568665
116,0.966667,-0.019541,0.753631,-0.549732,0.359795,37.185982,13.390242,499.454681
117,0.975000,-0.031673,0.761506,-0.545761,0.348210,37.270012,13.486226,499.226288
118,0.983333,-0.030960,0.776309,-0.535463,0.331156,37.176086,13.310014,498.744446
119,0.991667,-0.036290,0.764355,-0.540682,0.349439,37.470795,13.132837,498.786560
120,1.000000,-0.030005,0.768692,-0.530718,0.355739,37.594440,12.851189,498.628174
121,1.008333,-0.026165,0.767548,-0.534187,0.353313,37.611240,12.676250,498.578583
122,1.016667,-0.019437,0.760396,-0.543046,0.355698,37.650211,12.526825,498.627960
123,1.025000,-0.029936,0.756145,-0.543534,0.363208,37.895424,12.390489,498.646179
124,1.033333,-0.030869,0.756383,-0.542030,0.364876,38.056938,12.308374,498.656464
125,1.041667,-0.017401,0.756492,-0.544833,0.361350,38.058250,12.250206,498.696716
126,1.050000,-0.026901,0.749766,-0.554579,0.359958,38.321697,12.315181,498.891174
127,1.058333,-0.031502,0.762706,-0.529208,0.370441,38.685028,12.573946,498.760162
128,1.066667,-0.031020,0.757055,-0.543429,0.361374,38.228634,12.290800,499.191010
129,1.075000,-0.017946,0.744795,-0.558454,0.364812,38.394592,12.403562,499.183044
130,1.083333,-0.019720,0.761517,-0.542560,0.354021,38.141750,12.487443,499.143555
131,1.091667,-0.001629,0.760243,-0.543168,0.356366,37.995007,12.678809,499.180176
